2023-05-23 12:46:15.400 | INFO     | __main__:run_online_triplet:52 - Namespace(dataset='CVPR2017', eeg_path='/media/exx/HDD1/LanxHuyen/CVPR2017/eeg_55_95_std.pth', time_low=20, time_high=460, img_path='/media/exx/HDD1/LanxHuyen/CVPR2017/imagenet_augmented', splits_path='/media/exx/HDD1/LanxHuyen/CVPR2017/block_splits_by_image_all.pth', log_path='/home/exx/GithubClonedRepo/EEG-Research/Experiment/ContrastiveLearning', info='online_triplet_augmented_efficientnet_b0', img_encoder='efficientnet_b0', eeg_encoder='EEGChannelNet', batch_size=128, lr=0.00025, wd=0.0001, optim='SGD', max_epoch=50, log_interval=10, num_workers=2, gpu=0, gamma=200, arch='train', save_ckpt='checkpoints/', lr_step='40', pretrain=False, momen=0.9, nesterov=False, num_classes=40, device=device(type='cuda', index=0))
2023-05-23 12:47:07.575 | INFO     | trainer_not_inception:train_epoch:136 - Train: [0/7970 (0%)]	Loss: 0.000000	Average nonzero triplets: 64.0
2023-05-23 12:47:14.613 | INFO     | trainer_not_inception:train_epoch:136 - Train: [640/7970 (8%)]	Loss: 0.000000	Average nonzero triplets: 63.0
2023-05-23 12:59:55.238 | INFO     | __main__:run_online_triplet:52 - Namespace(dataset='CVPR2017', eeg_path='/media/exx/HDD1/LanxHuyen/CVPR2017/eeg_55_95_std.pth', time_low=20, time_high=460, img_path='/media/exx/HDD1/LanxHuyen/CVPR2017/imagenet_augmented', splits_path='/media/exx/HDD1/LanxHuyen/CVPR2017/block_splits_by_image_all.pth', log_path='/home/exx/GithubClonedRepo/EEG-Research/Experiment/ContrastiveLearning', info='online_triplet_augmented_efficientnet_b0', img_encoder='efficientnet_b0', eeg_encoder='EEGChannelNet', batch_size=128, lr=0.00025, wd=0.0001, optim='SGD', max_epoch=50, log_interval=10, num_workers=2, gpu=0, gamma=200, arch='train', save_ckpt='checkpoints/', lr_step='40', pretrain=False, momen=0.9, nesterov=False, num_classes=40, device=device(type='cuda', index=0))
2023-05-23 13:00:47.608 | INFO     | trainer_not_inception:train_epoch:136 - Train: [0/7970 (0%)]	Loss: 3.645543	Average nonzero triplets: 63.0
2023-05-23 13:01:53.907 | INFO     | __main__:run_online_triplet:52 - Namespace(dataset='CVPR2017', eeg_path='/media/exx/HDD1/LanxHuyen/CVPR2017/eeg_55_95_std.pth', time_low=20, time_high=460, img_path='/media/exx/HDD1/LanxHuyen/CVPR2017/imagenet_augmented', splits_path='/media/exx/HDD1/LanxHuyen/CVPR2017/block_splits_by_image_all.pth', log_path='/home/exx/GithubClonedRepo/EEG-Research/Experiment/ContrastiveLearning', info='online_triplet_augmented_efficientnet_b0', img_encoder='efficientnet_b0', eeg_encoder='EEGChannelNet', batch_size=128, lr=0.00025, wd=0.0001, optim='SGD', max_epoch=50, log_interval=10, num_workers=2, gpu=0, gamma=200, arch='train', save_ckpt='checkpoints/', lr_step='40', pretrain=False, momen=0.9, nesterov=False, num_classes=40, device=device(type='cuda', index=0))
2023-05-23 13:02:46.491 | INFO     | trainer_not_inception:train_epoch:136 - Train: [0/7970 (0%)]	Loss: 3.613421	Average nonzero triplets: 63.0
2023-05-23 13:02:53.670 | INFO     | trainer_not_inception:train_epoch:136 - Train: [640/7970 (8%)]	Loss: 5.718782	Average nonzero triplets: 62.54545454545455
2023-05-23 13:03:00.871 | INFO     | trainer_not_inception:train_epoch:136 - Train: [1280/7970 (16%)]	Loss: 3.627428	Average nonzero triplets: 62.95238095238095
2023-05-23 13:03:08.065 | INFO     | trainer_not_inception:train_epoch:136 - Train: [1920/7970 (24%)]	Loss: 2.328462	Average nonzero triplets: 63.096774193548384
2023-05-23 13:03:15.264 | INFO     | trainer_not_inception:train_epoch:136 - Train: [2560/7970 (32%)]	Loss: 1.903718	Average nonzero triplets: 63.048780487804876
2023-05-23 13:03:22.462 | INFO     | trainer_not_inception:train_epoch:136 - Train: [3200/7970 (40%)]	Loss: 1.554569	Average nonzero triplets: 63.01960784313726
2023-05-23 13:03:29.662 | INFO     | trainer_not_inception:train_epoch:136 - Train: [3840/7970 (48%)]	Loss: 1.211736	Average nonzero triplets: 63.0655737704918
2023-05-23 13:03:36.858 | INFO     | trainer_not_inception:train_epoch:136 - Train: [4480/7970 (56%)]	Loss: 0.961040	Average nonzero triplets: 63.056338028169016
2023-05-23 13:03:44.052 | INFO     | trainer_not_inception:train_epoch:136 - Train: [5120/7970 (65%)]	Loss: 0.623697	Average nonzero triplets: 63.01234567901235
2023-05-23 13:03:51.251 | INFO     | trainer_not_inception:train_epoch:136 - Train: [5760/7970 (73%)]	Loss: 0.642146	Average nonzero triplets: 63.010989010989015
2023-05-23 13:03:58.448 | INFO     | trainer_not_inception:train_epoch:136 - Train: [6400/7970 (81%)]	Loss: 0.560320	Average nonzero triplets: 63.039603960396036
2023-05-23 13:04:05.664 | INFO     | trainer_not_inception:train_epoch:136 - Train: [7040/7970 (89%)]	Loss: 0.819626	Average nonzero triplets: 63.009009009009006
2023-05-23 13:04:12.868 | INFO     | trainer_not_inception:train_epoch:136 - Train: [7680/7970 (97%)]	Loss: 0.531117	Average nonzero triplets: 63.0
